"seq_name","dr_match_name","replicate","dna_type","seq_depth","plate.id","year","season","sampling.date","lat","long","sample.type.year"
"RO298.7m.D","RO298.7m",1,"DNA","Shallow",11,2017,"Summer","2017-08-11",50.80039,-63.20394,"Deep"
"RO298.7m.R","RO298.7m",1,"cDNA","Shallow",12,2017,"Summer","2017-08-11",50.80039,-63.20394,"Deep"
"RO301D","RO301",1,"DNA","Shallow",11,2017,"Summer","2017-08-10",51.3118994887173,-63.4259373158468,"RO3"
"RO301R","RO301",1,"cDNA","Shallow",12,2017,"Summer","2017-08-10",51.3118994887173,-63.4259373158468,"RO3"
"RO301.Hypo.D","RO301.Hypo",1,"DNA","Shallow",11,2017,"Summer","2017-08-10",51.3118994887173,-63.4259373158468,"Deep"
"RO301.Hypo.R","RO301.Hypo",1,"cDNA","Shallow",12,2017,"Summer","2017-08-10",51.3118994887173,-63.4259373158468,"Deep"
"RO304D","RO304",1,"DNA","Shallow",11,2017,"Summer","2017-08-10",51.1896697037461,-63.3588511506079,"RO3"
"RO304R","RO304",1,"cDNA","Shallow",12,2017,"Summer","2017-08-10",51.1896697037461,-63.3588511506079,"RO3"
"RO307D","RO307",1,"DNA","Shallow",11,2017,"Summer","2017-08-11",51.2830197766487,-63.3743239739394,"RO3"
"RO307R","RO307",1,"cDNA","Shallow",12,2017,"Summer","2017-08-11",51.2830197766487,-63.3743239739394,"RO3"
"TR56D","TR56",1,"DNA","Shallow",11,2017,"Summer","2017-08-18",50.31016,-63.66162,"Tributary"
"TR56R","TR56",1,"cDNA","Shallow",12,2017,"Summer","2017-08-18",50.31016,-63.66162,"Tributary"
"L349D","L349",1,"DNA","Shallow",11,2017,"Autumn","2017-10-07",50.98998,-63.21911,"Lake"
"L349R","L349",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-07",50.98998,-63.21911,"Lake"
"LR128D","LR128",1,"DNA","Shallow",11,2017,"Autumn","2017-10-04",51.90361,-63.81292,"Upriver"
"LR128R","LR128",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-04",51.90361,-63.81292,"Upriver"
"LR131D","LR131",1,"DNA","Shallow",11,2017,"Autumn","2017-10-04",51.37579,-63.572,"Upriver"
"LR131R","LR131",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-04",51.37579,-63.572,"Upriver"
"LR134D","LR134",1,"DNA","Shallow",11,2017,"Autumn","2017-10-05",52.08962,-63.84148,"HeadwaterLakes"
