sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	nucleic_acid_type	replicate	sampling_depth_m
L349D	L349	PRJNA693020	Lake metagenome	NA	Lake	2017-10-07	Canada:Quebec	50.98998 N 63.21911 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
L349R	L349	PRJNA693020	Lake metagenome	NA	Lake	2017-10-07	Canada:Quebec	50.98998 N 63.21911 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
LR128D	LR128	PRJNA693020	River metagenome	NA	River	2017-10-04	Canada:Quebec	51.90361 N 63.81292 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
LR128R	LR128	PRJNA693020	River metagenome	NA	River	2017-10-04	Canada:Quebec	51.90361 N 63.81292 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
LR131D	LR131	PRJNA693020	River metagenome	NA	River	2017-10-04	Canada:Quebec	51.37579 N 63.572 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
LR131R	LR131	PRJNA693020	River metagenome	NA	River	2017-10-04	Canada:Quebec	51.37579 N 63.572 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
LR134D	LR134	PRJNA693020	Lake metagenome	NA	Lake	2017-10-05	Canada:Quebec	52.08962 N 63.84148 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
LR134R	LR134	PRJNA693020	Lake metagenome	NA	Lake	2017-10-05	Canada:Quebec	52.08962 N 63.84148 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
LR137D	LR137	PRJNA693020	River metagenome	NA	River	2017-10-06	Canada:Quebec	50.31519 N 63.7739 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
LR137R	LR137	PRJNA693020	River metagenome	NA	River	2017-10-06	Canada:Quebec	50.31519 N 63.7739 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
LR138D	LR138	PRJNA693020	River metagenome	NA	River	2017-10-07	Canada:Quebec	50.32291 N 63.36678 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
LR138R	LR138	PRJNA693020	River metagenome	NA	River	2017-10-07	Canada:Quebec	50.32291 N 63.36678 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
